/* DATA DESCRIPTION:
Citation:	Meyerjürgens, Jens; Badewien, Thomas H; Zielinski, Oliver; Braun, Axel; Butter, Michael (2019): Track of GPS-Drifter HE498/10-3 (North_Sea_Drifter5) in the German Bight, Southern North Sea. Institute for Chemistry and Biology of the Marine Environment, Carl-von-Ossietzky University of Oldenburg, Germany, PANGAEA, https://doi.org/10.1594/PANGAEA.897993
Abstract:	Drifter position data from drifter deployments in March and October 2017 im the German Bight. The drifters were deployed from RV Heincke and RV Senckenberg. The drifter position was send every 10 minutes via the Globalstar satellite transmission service. The drifters were 0.5 m in height with a subsurface drogue which is directly to the housing. The drag area ration of the deployed configuration is R=25.6.
Keyword(s):	Drifters; German Bight; North Sea
Coverage:	MEDIAN LATITUDE: 54.310984 * MEDIAN LONGITUDE: 8.238230 * SOUTH-BOUND LATITUDE: 54.005990 * WEST-BOUND LONGITUDE: 7.653670 * NORTH-BOUND LATITUDE: 54.669420 * EAST-BOUND LONGITUDE: 8.680490
	DATE/TIME START: 2017-10-08T09:29:51 * DATE/TIME END: 2017-10-23T07:53:40
	MINIMUM ELEVATION: -33.0 m * MAXIMUM ELEVATION: -33.0 m
Event(s):	HE498/10-3 * LATITUDE: 54.027800 * LONGITUDE: 7.745680 * DATE/TIME: 2017-10-08T09:29:00 * ELEVATION: -33.0 m * LOCATION: North Sea * CAMPAIGN: HE498 * BASIS: Heincke (URI: http://www.awi.de/en/expedition/ships/research-vessel-heincke.html) * DEVICE: Drifter (DRIFT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * COMMENT: UTC
	LATITUDE (Latitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
	LONGITUDE (Longitude) * GEOCODE * PI: Meyerjürgens, Jens (https://orcid.org/0000-0002-7990-9545, jens.meyerjuergens@uni-oldenburg.de) * METHOD: GPS receiver mounted on ICBM-Drifter (URI: hdl:10013/epic.50618.d001)
2017-10-09T23:02	54.05637	7.74682
2017-10-09T23:16	54.05704	7.75665
2017-10-09T23:35	54.05756	7.76916
2017-10-09T23:42	54.05797	7.77645
2017-10-09T23:55	54.05855	7.78564
2017-10-10T00:12	54.05930	7.79795
2017-10-10T00:36	54.06037	7.81458
2017-10-10T00:46	54.06100	7.82128
2017-10-10T01:12	54.06256	7.83889
2017-10-10T01:22	54.06299	7.84512
2017-10-10T01:32	54.06350	7.85134
2017-10-10T01:45	54.06421	7.85894
2017-10-10T01:55	54.06464	7.86469
2017-10-10T02:34	54.06640	7.88207
2017-10-10T02:42	54.06673	7.88542
2017-10-10T02:54	54.06717	7.88902
2017-10-10T03:02	54.06748	7.89092
2017-10-10T03:12	54.06774	7.89289
2017-10-10T03:22	54.06783	7.89426
2017-10-10T03:32	54.06810	7.89503
2017-10-10T04:11	54.06871	7.89372
2017-10-10T04:21	54.06875	7.89250
2017-10-10T04:31	54.06868	7.89106
2017-10-10T04:41	54.06853	7.88915
2017-10-10T04:51	54.06834	7.88689
2017-10-10T05:01	54.06821	7.88449
2017-10-10T05:11	54.06793	7.88113
2017-10-10T05:21	54.06772	7.87881
2017-10-10T05:31	54.06738	7.87572
2017-10-10T05:41	54.06701	7.87254
2017-10-10T05:53	54.06643	7.86894
2017-10-10T06:05	54.06592	7.86640
2017-10-10T06:15	54.06541	7.86340
2017-10-10T06:25	54.06455	7.85928
2017-10-10T06:31	54.06413	7.85739
2017-10-10T06:41	54.06341	7.85434
2017-10-10T06:51	54.06277	7.85134
2017-10-10T07:01	54.06213	7.84859
2017-10-10T07:33	54.05925	7.84074
2017-10-10T07:40	54.05845	7.83913
2017-10-10T08:00	54.05616	7.83540
2017-10-10T08:10	54.05504	7.83403
2017-10-10T08:20	54.05397	7.83317
2017-10-10T08:30	54.05279	7.83265
2017-10-10T08:40	54.05116	7.83265
2017-10-10T08:50	54.05034	7.83291
2017-10-10T09:00	54.04925	7.83375
2017-10-10T09:20	54.04689	7.83759
2017-10-10T09:30	54.04565	7.84051
2017-10-10T09:40	54.04449	7.84420
2017-10-10T10:03	54.04220	7.85503
2017-10-10T10:09	54.04153	7.85887
2017-10-10T10:19	54.04068	7.86469
2017-10-10T10:39	54.03894	7.87756
2017-10-10T10:59	54.03696	7.89256
2017-10-10T11:09	54.03623	7.90063
2017-10-10T11:19	54.03584	7.90526
2017-10-10T11:39	54.03431	7.91962
2017-10-10T11:49	54.03328	7.92786
2017-10-10T11:59	54.03268	7.93327
2017-10-10T12:29	54.03075	7.95159
2017-10-10T12:39	54.03015	7.95751
2017-10-10T12:49	54.02968	7.96292
2017-10-10T12:59	54.02927	7.96803
2017-10-10T13:09	54.02901	7.97318
2017-10-10T13:22	54.02872	7.97794
2017-10-10T13:32	54.02855	7.98378
2017-10-10T13:49	54.02811	7.99122
2017-10-10T13:59	54.02809	7.99526
2017-10-10T14:09	54.02800	7.99878
2017-10-10T14:19	54.02797	8.00210
2017-10-10T14:29	54.02797	8.00493
2017-10-10T14:48	54.02835	8.01056
2017-10-10T14:58	54.02861	8.01150
2017-10-10T16:08	54.03392	8.00965
2017-10-10T16:18	54.03474	8.00802
2017-10-10T16:31	54.03613	8.00478
2017-10-10T16:48	54.03772	8.00038
2017-10-10T16:58	54.03863	7.99724
2017-10-10T17:08	54.03957	7.99406
2017-10-10T17:20	54.04080	7.98979
2017-10-10T17:27	54.04141	7.98715
2017-10-10T17:37	54.04223	7.98363
2017-10-10T17:47	54.04296	7.98011
2017-10-10T19:01	54.05001	7.95421
2017-10-10T19:07	54.05045	7.95136
2017-10-10T19:17	54.05075	7.94904
2017-10-10T19:31	54.05105	7.94516
2017-10-10T19:41	54.05225	7.93975
2017-10-10T19:51	54.05199	7.93709
2017-10-10T19:58	54.05225	7.93490
2017-10-10T20:18	54.05293	7.92930
2017-10-10T20:28	54.05319	7.92715
2017-10-10T20:38	54.05336	7.92535
2017-10-10T20:52	54.05379	7.92361
2017-10-10T21:18	54.05378	7.92340
2017-10-10T21:28	54.05373	7.92453
2017-10-10T21:38	54.05364	7.92650
2017-10-10T21:48	54.05347	7.92925
2017-10-10T22:08	54.05295	7.93687
2017-10-10T22:17	54.05280	7.94207
2017-10-10T22:27	54.05263	7.94713
2017-10-10T22:37	54.05253	7.95309
2017-10-10T22:47	54.05238	7.95955
2017-10-10T23:17	54.05148	7.98110
2017-10-10T23:29	54.05125	7.98854
2017-10-10T23:39	54.05116	7.99704
2017-10-10T23:47	54.05111	8.00348
2017-10-11T00:11	54.05103	8.01868
2017-10-11T00:21	54.05034	8.02968
2017-10-11T00:31	54.05094	8.03619
2017-10-11T00:39	54.05070	8.04184
2017-10-11T00:47	54.05106	8.04768
2017-10-11T01:21	54.05089	8.06703
2017-10-11T01:31	54.05089	8.07501
2017-10-11T01:41	54.05072	8.08024
2017-10-11T01:57	54.05080	8.08843
2017-10-11T02:07	54.05096	8.09310
2017-10-11T02:17	54.05118	8.09770
2017-10-11T02:27	54.05140	8.10171
2017-10-11T02:37	54.05191	8.10566
2017-10-11T02:47	54.05221	8.10858
2017-10-11T03:40	54.05651	8.11832
2017-10-11T03:47	54.05718	8.11874
2017-10-11T03:57	54.05825	8.11883
2017-10-11T04:07	54.05940	8.11835
2017-10-11T04:17	54.06064	8.11724
2017-10-11T04:46	54.06455	8.11049
2017-10-11T04:56	54.06544	8.10863
2017-10-11T05:06	54.06678	8.10568
2017-10-11T05:16	54.06805	8.10199
2017-10-11T05:56	54.07270	8.08470
2017-10-11T06:06	54.07321	8.08188
2017-10-11T06:16	54.07394	8.07785
2017-10-11T06:26	54.07458	8.07390
2017-10-11T06:46	54.07598	8.06556
2017-10-11T06:59	54.07789	8.05888
2017-10-11T07:09	54.07909	8.05467
2017-10-11T07:16	54.08033	8.05085
2017-10-11T07:26	54.08199	8.04595
2017-10-11T07:36	54.08352	8.04124
2017-10-11T07:46	54.08507	8.03642
2017-10-11T07:56	54.08656	8.03189
2017-10-11T08:06	54.08804	8.02740
2017-10-11T08:19	54.08978	8.02253
2017-10-11T08:26	54.09066	8.02013
2017-10-11T08:36	54.09190	8.01667
2017-10-11T08:46	54.09300	8.01375
2017-10-11T08:56	54.09425	8.01111
2017-10-11T09:06	54.09544	8.00882
2017-10-11T09:49	54.10068	8.00592
2017-10-11T09:59	54.10143	8.00755
2017-10-11T10:09	54.10183	8.01014
2017-10-11T10:28	54.10272	8.01755
2017-10-11T10:38	54.10336	8.02236
2017-10-11T10:48	54.10426	8.02793
2017-10-11T10:56	54.10500	8.03248
2017-10-11T11:05	54.10592	8.03886
2017-10-11T11:15	54.10656	8.04547
2017-10-11T11:25	54.10725	8.05225
2017-10-11T11:35	54.10780	8.05908
2017-10-11T11:47	54.10844	8.06713
2017-10-11T11:57	54.10883	8.07175
2017-10-11T12:07	54.10960	8.07888
2017-10-11T12:15	54.11016	8.08372
2017-10-11T12:25	54.11102	8.08956
2017-10-11T12:35	54.11176	8.09535
2017-10-11T12:45	54.11250	8.10119
2017-10-11T12:58	54.11337	8.10844
2017-10-11T13:25	54.11523	8.12262
2017-10-11T13:35	54.11609	8.12789
2017-10-11T13:45	54.11689	8.13274
2017-10-11T13:57	54.11794	8.13930
2017-10-11T14:07	54.11845	8.14342
2017-10-11T14:14	54.11885	8.14621
2017-10-11T14:24	54.11959	8.15010
2017-10-11T14:34	54.12074	8.15405
2017-10-11T14:44	54.12186	8.15790
2017-10-11T14:54	54.12280	8.16142
2017-10-11T16:07	54.13116	8.17623
2017-10-11T16:24	54.13359	8.17679
2017-10-11T16:34	54.13442	8.17651
2017-10-11T16:44	54.13574	8.17559
2017-10-11T16:53	54.13737	8.17369
2017-10-11T17:03	54.13887	8.17172
2017-10-11T17:13	54.14029	8.16949
2017-10-11T17:23	54.14169	8.16677
2017-10-11T17:43	54.14415	8.16065
2017-10-11T17:53	54.14534	8.15734
2017-10-11T18:03	54.14638	8.15387
2017-10-11T18:13	54.14767	8.15011
2017-10-11T18:23	54.14878	8.14606
2017-10-11T18:53	54.15189	8.13228
2017-10-11T19:03	54.15274	8.12750
2017-10-11T19:13	54.15352	8.12284
2017-10-11T19:23	54.15454	8.11800
2017-10-11T19:43	54.15642	8.10830
2017-10-11T19:53	54.15762	8.10178
2017-10-11T20:03	54.15822	8.09836
2017-10-11T20:13	54.15918	8.09368
2017-10-11T20:23	54.16008	8.08913
2017-10-11T20:33	54.16090	8.08450
2017-10-11T20:43	54.16173	8.08036
2017-10-11T20:52	54.16269	8.07673
2017-10-11T21:06	54.16377	8.07263
2017-10-11T21:12	54.16434	8.07119
2017-10-11T21:22	54.16526	8.06896
2017-10-11T21:32	54.16597	8.06744
2017-10-11T22:02	54.16809	8.06615
2017-10-11T22:12	54.16899	8.06742
2017-10-11T22:22	54.16929	8.06845
2017-10-11T22:32	54.16985	8.07025
2017-10-11T22:42	54.17051	8.07292
2017-10-11T23:12	54.17265	8.08390
2017-10-11T23:26	54.17373	8.08996
2017-10-11T23:32	54.17424	8.09300
2017-10-11T23:42	54.17525	8.09828
2017-10-11T23:52	54.17611	8.10333
2017-10-12T00:02	54.17710	8.10815
2017-10-12T00:12	54.17811	8.11332
2017-10-12T00:22	54.17917	8.11860
2017-10-12T00:35	54.18042	8.12611
2017-10-12T00:42	54.18086	8.12984
2017-10-12T01:02	54.18254	8.14187
2017-10-12T01:12	54.18327	8.14788
2017-10-12T01:22	54.18409	8.15329
2017-10-12T01:32	54.18509	8.15887
2017-10-12T01:55	54.18691	8.17221
2017-10-12T02:01	54.18724	8.17601
2017-10-12T02:11	54.18767	8.18150
2017-10-12T02:21	54.18783	8.18680
2017-10-12T02:44	54.18862	8.19746
2017-10-12T02:54	54.18905	8.20218
2017-10-12T03:04	54.18961	8.20783
2017-10-12T03:11	54.18999	8.21101
2017-10-12T03:21	54.19069	8.21589
2017-10-12T03:31	54.19108	8.21855
2017-10-12T03:41	54.19133	8.22167
2017-10-12T04:15	54.19328	8.23021
2017-10-12T04:41	54.19509	8.23311
2017-10-12T04:51	54.19591	8.23380
2017-10-12T05:01	54.19681	8.23389
2017-10-12T05:21	54.19918	8.23268
2017-10-12T05:31	54.19974	8.23234
2017-10-12T05:41	54.20017	8.23190
2017-10-12T05:55	54.20108	8.23039
2017-10-12T06:02	54.20166	8.22955
2017-10-12T06:21	54.20247	8.22713
2017-10-12T06:31	54.20281	8.22541
2017-10-12T06:41	54.20277	8.22455
2017-10-12T07:30	54.20213	8.21301
2017-10-12T08:12	54.19973	8.20130
2017-10-12T08:20	54.19905	8.19777
2017-10-12T08:32	54.19801	8.19356
2017-10-12T08:40	54.19750	8.19082
2017-10-12T08:50	54.19651	8.18627
2017-10-12T09:00	54.19604	8.18370
2017-10-12T09:10	54.19512	8.18005
2017-10-12T09:20	54.19430	8.17639
2017-10-12T09:30	54.19336	8.17296
2017-10-12T09:40	54.19254	8.16956
2017-10-12T09:50	54.19177	8.16607
2017-10-12T10:00	54.19121	8.16222
2017-10-12T10:10	54.19070	8.16025
2017-10-12T10:20	54.19014	8.15788
2017-10-12T10:30	54.18953	8.15576
2017-10-12T10:40	54.18903	8.15412
2017-10-12T10:50	54.18839	8.15361
2017-10-12T11:00	54.18779	8.15344
2017-10-12T11:12	54.18704	8.15419
2017-10-12T11:20	54.18653	8.15503
2017-10-12T11:33	54.18584	8.15717
2017-10-12T11:43	54.18545	8.15949
2017-10-12T11:49	54.18511	8.16149
2017-10-12T11:59	54.18468	8.16475
2017-10-12T12:09	54.18433	8.16829
2017-10-12T12:21	54.18381	8.17351
2017-10-12T12:31	54.18364	8.17643
2017-10-12T12:41	54.18317	8.18192
2017-10-12T12:49	54.18263	8.18565
2017-10-12T12:59	54.18203	8.19046
2017-10-12T13:09	54.18139	8.19514
2017-10-12T13:19	54.18072	8.19968
2017-10-12T13:39	54.17942	8.20872
2017-10-12T13:49	54.17905	8.21313
2017-10-12T14:23	54.17766	8.22526
2017-10-12T14:29	54.17706	8.22938
2017-10-12T14:43	54.17667	8.23522
2017-10-12T14:49	54.17642	8.23776
2017-10-12T14:59	54.17599	8.24136
2017-10-12T15:09	54.17560	8.24492
2017-10-12T15:19	54.17530	8.24818
2017-10-12T15:29	54.17514	8.25159
2017-10-12T15:39	54.17514	8.25477
2017-10-12T16:09	54.17513	8.26240
2017-10-12T16:19	54.17504	8.26431
2017-10-12T16:29	54.17513	8.26582
2017-10-12T16:39	54.17522	8.26689
2017-10-12T17:10	54.17615	8.26742
2017-10-12T17:20	54.17666	8.26648
2017-10-12T17:30	54.17735	8.26528
2017-10-12T17:38	54.17789	8.26402
2017-10-12T17:48	54.17849	8.26213
2017-10-12T17:58	54.17888	8.25981
2017-10-12T18:11	54.17916	8.25662
2017-10-12T18:18	54.17936	8.25426
2017-10-12T18:28	54.17953	8.25108
2017-10-12T18:38	54.17966	8.24729
2017-10-12T18:48	54.17990	8.24316
2017-10-12T19:01	54.18012	8.23710
2017-10-12T19:08	54.18031	8.23440
2017-10-12T19:21	54.18050	8.22844
2017-10-12T19:28	54.18059	8.22475
2017-10-12T19:38	54.18082	8.21931
2017-10-12T19:48	54.18091	8.21339
2017-10-12T19:58	54.18108	8.20703
2017-10-12T20:08	54.18132	8.20059
2017-10-12T20:18	54.18158	8.19443
2017-10-12T21:17	54.18291	8.15924
2017-10-12T21:47	54.18391	8.14406
2017-10-12T21:57	54.18412	8.13960
2017-10-12T22:07	54.18446	8.13523
2017-10-12T22:17	54.18493	8.13138
2017-10-12T22:51	54.18616	8.12158
2017-10-12T23:51	54.18721	8.13648
2017-10-13T00:11	54.18940	8.12609
2017-10-13T00:19	54.18970	8.12928
2017-10-13T00:27	54.19004	8.13244
2017-10-13T00:37	54.19051	8.13697
2017-10-13T00:47	54.19102	8.14160
2017-10-13T00:57	54.19161	8.14664
2017-10-13T01:08	54.19222	8.15293
2017-10-13T01:27	54.19324	8.16564
2017-10-13T01:37	54.19363	8.17019
2017-10-13T01:57	54.19443	8.18256
2017-10-13T02:07	54.19482	8.18848
2017-10-13T02:17	54.19516	8.19422
2017-10-13T02:29	54.19537	8.20126
2017-10-13T02:47	54.19605	8.21078
2017-10-13T02:57	54.19653	8.21563
2017-10-13T03:07	54.19712	8.22039
2017-10-13T04:59	54.20611	8.25479
2017-10-13T05:09	54.20757	8.25608
2017-10-13T05:19	54.20869	8.25658
2017-10-13T05:36	54.21076	8.25642
2017-10-13T06:25	54.21764	8.24840
2017-10-13T06:35	54.21871	8.24591
2017-10-13T06:45	54.21957	8.24376
2017-10-13T06:55	54.22081	8.24025
2017-10-13T07:05	54.22209	8.23642
2017-10-13T07:38	54.22619	8.22185
2017-10-13T07:45	54.22696	8.21870
2017-10-13T08:29	54.23065	8.20065
2017-10-13T08:39	54.23151	8.19609
2017-10-13T08:49	54.23275	8.19018
2017-10-13T08:55	54.23329	8.18760
2017-10-13T09:05	54.23405	8.18366
2017-10-13T09:15	54.23490	8.17981
2017-10-13T09:38	54.23673	8.17174
2017-10-13T09:48	54.23716	8.16977
2017-10-13T09:58	54.23810	8.16625
2017-10-13T10:05	54.23855	8.16456
2017-10-13T10:15	54.23915	8.16236
2017-10-13T10:34	54.24038	8.15906
2017-10-13T10:45	54.24106	8.15818
2017-10-13T10:54	54.24176	8.15752
2017-10-13T11:04	54.24263	8.15715
2017-10-13T11:14	54.24314	8.15741
2017-10-13T11:24	54.24387	8.15801
2017-10-13T11:58	54.24629	8.16442
2017-10-13T12:08	54.24676	8.16649
2017-10-13T12:18	54.24770	8.17130
